path,category,owner,baseline_bytes,baseline_sha256
AGENTS.md,contributor-guide,integration,13387,8f3f60a2f8ba4d597758ec60468191ff414e4e118d5c168291b13f80a52b4f75
CLAUDE.md,contributor-guide,integration,416,7981af77160aec644f46f505ecf4a1da85df06433c296493cbd1b68e5ecd7523
MAINTAINER.md,contributor-guide,integration,24877,8f7902df519f66022a218b1481be4234f86f015d11758746182aee5957bdf25f
README.md,active-guide,integration,33980,81c8bcd9fefa959b371ade86d77f655c29c778fec6971a06ec9291e8a9444c88
claude/aqe-reference.md,shipped-reference,hosts,1621,911c27a9e90ba80d473facf7a0eb660a4ce9197b1f55c6662c0eedc2aa1989a8
claude/dual-mode-reference.md,shipped-reference,hosts,1684,af99b549ab2b0745055374f9d3b41eaf5943fe9553666334932d68cecbf96e61
claude/providers-reference.md,shipped-reference,hosts,1368,6135d22ccf498d4600d13cc873000e020bef3a8eadf182a045ee9b2a5c650236
claude/ruflo-opencode-reference.md,shipped-reference,hosts,1636,1bb15f8b55838a762a8a4c7a8e30d75755b2a06b65e6654edb1cc1054c505942
claude/ruflo-preamble.md,shipped-reference,hosts,2269,b9e3866d48d0891b433431f1e75b1f27a302898d66c48724888ed1d2edfba19a
claude/ruflo-reference-full.md,shipped-reference,hosts,24969,df68da6a0099c2715ca29ab8b9300eb121334f7b1e806186229c3a379bd566bf
claude/ruflo-reference.md,shipped-reference,hosts,1436,2c305737487e7af2d4fb032763d4cf5e1cc871992f2ee97f5c3fdf364d00b990
claude/ruvnet-brain-opencode-reference.md,shipped-reference,hosts,749,c9fc65ae5fcd927c2ebd331cc888217a6f0e3e74209ed94d70cae8732ad6193d
claude/ruvnet-brain-reference.md,shipped-reference,hosts,938,089a036984b466d605349f0e69976cb3c7ca0589c5a46db2b9fe6c52d0d94944
claude/skills/ruflo-token-audit/SKILL.md,shipped-reference,hosts,5533,d126d82e8717cea3265e8e424c0e313f9103e9be4ebbb92091a6deec35942b20
claude/superpowers-reference.md,shipped-reference,hosts,853,296dda15d0109296ea9c9b4aaa17f9ed4489fe707c223bc3daff97e2996ffa74
docker/MAINTAINER-GUIDE.md,active-guide,integration,6649,fc58556e0c7bfa10a3d7e7004292a007378af743939344fb159a8e8e34674822
docker/USER-GUIDE.md,active-guide,integration,5403,00481e60cff97c1afa895be1402483ba06df9ecffad04e3c88b3029e627495f9
docs/AUTHORING-HOST-ADAPTERS.md,active-guide,hosts,26203,a6440700d046754b24f7c45a0d23237fa7a454a3393cce3066838a76a4a728e2
docs/CODEX-STATUSLINE.md,active-guide,hosts,6193,b58a3259ae36125a756d1af7ea0f5f5fb5c48491fea6d82f1a055717c08a4e03
docs/CODEX-USAGE-DIAGNOSTIC.md,active-guide,hosts,6917,f756b9afec441cf61d1a2e32d16da8e34ed8fc3a6a3a4aef7a8263977f04c26b
docs/DASHBOARD.md,active-guide,dashboard,61164,81a52f6495ba3a635ad6ce19f93dfaece59578335c7f9eeaa538fcee97e22763
docs/DATE-TIME-PRESENTATION.md,active-guide,integration,4567,aee173a9ed821e0b7649a2fea035151ca993e0b11629547cd4bfe307f8ac99b0
docs/DEJA-VU.md,active-guide,hosts,13660,d537ef93d0d722d42599161c56de3cecb261b5cce72030483bcf787cba28d150
docs/DEVCONTAINERS.md,active-guide,integration,7246,f82267e6cde3def74707e93bd7f3f4802ebe4fda826f94b2b9150506909b40bf
docs/HERMES-HOST-ADAPTER.md,active-guide,hosts,11191,e0f97aae8f9587e4b79a4ba6596a2d071d73fc49bd6fc0f5516d7e998764695a
docs/HOOKS.md,active-guide,hosts,6631,9b833c76e87f1070215b421422495ed4322abee2f90d0ff39819eb349406daf3
docs/HOST-ADAPTER-FREEZE-CHECKLIST.md,active-guide,hosts,5617,e6cd60047ce12e0fe99cbd1fa5c7203870d3aa49b5ff89c2037eb0915c48c7cb
docs/HOST-SUPPORT.md,active-guide,hosts,21355,ea04c6208f85283d02c94fa0b2e15baf7e23a85758d1fb014ab5dcbd65967cf2
docs/INSTALLATION.md,active-guide,integration,16460,a08202315e8ddc581df92d57dd90636de0f07f32a36dd9b15be4634414d3f8f7
docs/LANGUAGE-COVERAGE.md,active-guide,ddd,2731,19d2665543ce06b58d38012a4ba3c74f263fb4e4ba88fbcc1549de1a9e81269b
docs/LANGUAGE-LOGOS.md,active-guide,ddd,10883,7999a7ea0f3f62764536ce346de76aa5c3843bbe174a2fb7070e4b7c8740f69b
docs/LOCAL-MODEL-VALIDATION.md,active-guide,hosts,9440,b41c5345b4d1b6b0b5d6f851af509082c3b08ad669e63829ea8f9a39cd5edf4d
docs/MAINTENANCE-ACCEPTANCE.md,active-guide,ddd,26561,4cfa957030f742c8a30c80ae43c403696ce6786e96ad85833fa11893ef266c7f
docs/MAINTENANCE.md,active-guide,ddd,47403,4baa7e408c70be5cd4e56a91e8da81a686b1d7534479f10c362d44fbeed0ecfc
docs/MANAGED-TOOLS.md,active-guide,hosts,11977,ea3479758beaf19abeadb4541f838fed293de92fdaa968d72c7fa333b6aa3e1d
docs/METAHARNESS-COMPANION-PROPOSAL.md,active-guide,hosts,21246,2475fbada860a1c87e59c8a32b1c548ceb1ab055664417223c51543d236bd991
docs/MODEL-PRICING-AUDIT.md,active-guide,hosts,4418,8eb7d21b5c7df571d523569df186ff861c7fcd75004072f364bcff59a94351c1
docs/MODELS.md,active-guide,hosts,17558,9b45ba83e76a37d5172432706c063c329d5fcff2f1a82829a4dd796ab7c5b9bf
docs/OBSERVABILITY.md,active-guide,integration,32513,501fefee5df0e950d97bc31df81deb2e767c4e11f9a42087d258e9fca0ca59db
docs/PROJECT-METADATA-ADAPTERS.md,active-guide,ddd,4874,be516de22b14ae9530fea55bf3ca282981b2346f597ea86b2ccb78eb8a2352a8
docs/PROVIDERS.md,active-guide,hosts,37254,51397f53cb08f8ed7c744886f976b0ede18b90041ae62c2ff9d663c7fa95d145
docs/SETUP.md,active-guide,hosts,20207,fd6c2b977c9b2ee9dbd37e1c808d1d3b1de9eb2873bfd5d860513bcb2e2a05b4
docs/TRANSCRIPTS.md,active-guide,dashboard,40579,301d74424841812307660e281504c7f240bb5cc4324ae636ae96d173b80d5f4c
docs/TROUBLESHOOTING.md,active-guide,integration,25112,bed1f0c3198aa9f0360187bc88b0862d676d17cbc2577af49a89a298217191a4
docs/UPGRADING.md,active-guide,hosts,23200,fbf4f27420f44f5f7a97bd16265dab7f8bdec71ad3b018c90c358875e4e010c8
docs/USAGE-SCORECARD-METRICS.md,active-guide,dashboard,143127,96a655aca2a353efa7b348d912c616e0eacb71b84fc4480d9c63bc8845a82ebe
docs/adr/0001-one-routing-policy-many-projections.md,architecture-decision,adrs,3079,31b57a11123104d5d8ec2c430788c509770530c5dcf92c1927883aee17e91a98
docs/adr/0002-activity-vocabulary-defaults-from-ruv-templates.md,architecture-decision,adrs,3622,2021dcbade102c8323fb507db7623288f3832bf98163ad0c09c6a2cbee9d1c8c
docs/adr/0003-auto-seed-dual-host-provenance.md,architecture-decision,adrs,5659,c2b6c413787cccdd2af8f8e635cc5b1af1f7c60d161a546265ec8c391f5df790
docs/adr/0004-escalation-per-projection.md,architecture-decision,adrs,2720,9e35a96d124b111df4a208a73707829e6282c08850cb4af62fcfee8de38c554b
docs/adr/0005-dashboard-in-page-routing-reveal.md,architecture-decision,adrs,5329,fd5e2984506c118cce34f9b03633b436812c5fcd4d99f1d296fda3791e9fc5a3
docs/adr/0006-primary-host-and-ambidextrous-mirroring.md,architecture-decision,adrs,3451,f446da6838a2ef3640ab55f2b9e5742fe76303ede31d571e77615547e259f7c8
docs/adr/0007-maintainer-admin-local-telemetry.md,architecture-decision,adrs,11851,d9f85d7a9402379519757ce1ff26bffc40747ff80d3fafafc23c94b79c830243
docs/adr/0008-guidance-target-scope-split.md,architecture-decision,adrs,8991,db36f3ef8637f2551a54e92fdd69e006f1fe7ace2d22822e15cfab32ddbd73e0
docs/adr/0009-usage-scorecard-local-transcript-analytics.md,architecture-decision,adrs,33929,5cea9df8eb334f94efe515bf43380b6a0e80e428e6ad2fba45807fc3e554edbd
